Date,Transaction Count
05-09-2017 00:00,1806114
06-09-2017 00:00,1690604
07-09-2017 00:00,1679227
08-09-2017 00:00,2059410
09-09-2017 00:00,1824455
10-09-2017 00:00,1428964
11-09-2017 00:00,1522910
12-09-2017 00:00,1574645
13-09-2017 00:00,1798405
14-09-2017 00:00,1959901
15-09-2017 00:00,1954621
16-09-2017 00:00,1979443
17-09-2017 00:00,1636454
18-09-2017 00:00,1752275
19-09-2017 00:00,1618578
20-09-2017 00:00,1767174
21-09-2017 00:00,1949287
22-09-2017 00:00,2102136
23-09-2017 00:00,2054037
24-09-2017 00:00,1787441
25-09-2017 00:00,1692608
26-09-2017 00:00,1697756
27-09-2017 00:00,1981430
28-09-2017 00:00,2013012
29-09-2017 00:00,2136228
30-09-2017 00:00,2287976
01-10-2017 00:00,1718088
02-10-2017 00:00,1680341
03-10-2017 00:00,1755134
04-10-2017 00:00,1826578
05-10-2017 00:00,1892557
06-10-2017 00:00,2058316
07-10-2017 00:00,1992808
08-10-2017 00:00,1745658
09-10-2017 00:00,1626497
10-10-2017 00:00,1657810
11-10-2017 00:00,1815908
12-10-2017 00:00,1771832
13-10-2017 00:00,2084727
14-10-2017 00:00,1970992
15-10-2017 00:00,1714467
16-10-2017 00:00,1783753
17-10-2017 00:00,1736325
18-10-2017 00:00,1754005
19-10-2017 00:00,1845266
20-10-2017 00:00,2134384
21-10-2017 00:00,2078227
22-10-2017 00:00,1717857
23-10-2017 00:00,1738320
24-10-2017 00:00,1806712
25-10-2017 00:00,1816425
26-10-2017 00:00,1892397
27-10-2017 00:00,2256420
28-10-2017 00:00,2106344
29-10-2017 00:00,1788883
30-10-2017 00:00,1822517
31-10-2017 00:00,2012353
01-11-2017 00:00,2045848
02-11-2017 00:00,2161715
03-11-2017 00:00,2209411
04-11-2017 00:00,2051273
05-11-2017 00:00,1815145
06-11-2017 00:00,1987002
07-11-2017 00:00,1837435
08-11-2017 00:00,1877066
09-11-2017 00:00,1964680
10-11-2017 00:00,2295768
11-11-2017 00:00,2112173
12-11-2017 00:00,1691722
13-11-2017 00:00,1887678
14-11-2017 00:00,1901697
15-11-2017 00:00,2003623
16-11-2017 00:00,2396021
17-11-2017 00:00,2386231
18-11-2017 00:00,2298580
19-11-2017 00:00,1991163
20-11-2017 00:00,2384256
21-11-2017 00:00,2541209
22-11-2017 00:00,2788796
23-11-2017 00:00,2004183
24-11-2017 00:00,3463104
25-11-2017 00:00,2786075
26-11-2017 00:00,2333476
27-11-2017 00:00,2806269
28-11-2017 00:00,2712915
29-11-2017 00:00,2792641
30-11-2017 00:00,2968003
01-12-2017 00:00,3360352
02-12-2017 00:00,3331445
03-12-2017 00:00,2899443
04-12-2017 00:00,3281148
05-12-2017 00:00,3252502
06-12-2017 00:00,3678143
07-12-2017 00:00,3633704
08-12-2017 00:00,4190314
09-12-2017 00:00,4469009
10-12-2017 00:00,4001497
11-12-2017 00:00,4667355
12-12-2017 00:00,4863052
13-12-2017 00:00,4805817
14-12-2017 00:00,5177119
15-12-2017 00:00,6151888
16-12-2017 00:00,7211472
17-12-2017 00:00,6400944
18-12-2017 00:00,7201337
19-12-2017 00:00,7815832
20-12-2017 00:00,8888688
21-12-2017 00:00,9608849
22-12-2017 00:00,11952920
23-12-2017 00:00,13714689
24-12-2017 00:00,10148352
25-12-2017 00:00,2519000
26-12-2017 00:00,4057972
27-12-2017 00:00,4138430
28-12-2017 00:00,3794196
29-12-2017 00:00,3814061
30-12-2017 00:00,3475384
31-12-2017 00:00,3087252
01-01-2018 00:00,2252363
02-01-2018 00:00,2709657
03-01-2018 00:00,2878763
04-01-2018 00:00,2559530
05-01-2018 00:00,2829715
06-01-2018 00:00,2791264
07-01-2018 00:00,2403410
08-01-2018 00:00,2249247
09-01-2018 00:00,2137858
10-01-2018 00:00,2179655
11-01-2018 00:00,2207098
12-01-2018 00:00,2460961
13-01-2018 00:00,2265757
14-01-2018 00:00,2028130
15-01-2018 00:00,2177512
16-01-2018 00:00,2020627
17-01-2018 00:00,1959072
18-01-2018 00:00,2079056
19-01-2018 00:00,2291384
20-01-2018 00:00,2430916
21-01-2018 00:00,1945223
22-01-2018 00:00,1959659
23-01-2018 00:00,1920751
24-01-2018 00:00,2108792
25-01-2018 00:00,2077342
26-01-2018 00:00,2464139
27-01-2018 00:00,2420939
28-01-2018 00:00,2154343
29-01-2018 00:00,1836420
30-01-2018 00:00,2117978
31-01-2018 00:00,2265698
01-02-2018 00:00,2254669
02-02-2018 00:00,2544658
03-02-2018 00:00,2497589
04-02-2018 00:00,1973183
05-02-2018 00:00,1892966
06-02-2018 00:00,2234943
07-02-2018 00:00,2216829
08-02-2018 00:00,2285872
09-02-2018 00:00,2727917
10-02-2018 00:00,2889866
11-02-2018 00:00,2240297
12-02-2018 00:00,2241416
13-02-2018 00:00,3025699
14-02-2018 00:00,2913106
15-02-2018 00:00,2099812
16-02-2018 00:00,2238243
17-02-2018 00:00,2205081
18-02-2018 00:00,1856533
19-02-2018 00:00,1859689
20-02-2018 00:00,1924167
21-02-2018 00:00,1951068
22-02-2018 00:00,2193912
